Brand,Model,Manufacture_year,Mileage,Price,Body_type,Fuel,Horse_Power,Gear_box,Transmission,Announcement_date,Governorate,Address
Mercedes-Benz,ML,07.2014,83 000km,185 000,SUV/4x4,Diesel,16cv,Automatique,Intégrale,11.07.2024,Nabeul,
Mazda,CX-9,06.2019,160 000km,95 000,SUV/4x4,Essence,15cv,Automatique,Intégrale,11.07.2024,Tunis,
BMW,Série 1,03.2016,18 000km,95 000,Citadine,Essence,7cv,Automatique,Propulsion,11.07.2024,Nabeul,
Audi,A4,07.2018,34 000km,125 000,Berline,Essence,8cv,Automatique,Traction,11.07.2024,Ariana,
Volkswagen,Polo,10.2018,48 000km,48 300,Citadine,Essence,4cv,Manuelle,Traction,11.07.2024,Sfax,
BMW,Série 4 Gran Coupé,05.2019,73 000km,129 000,Berline,Essence,7cv,Automatique,Traction,11.07.2024,Ariana,
Alfa Romeo,Giulietta,05.2019,30 000km,75 000,Compacte,Essence,7cv,Manuelle,Propulsion,11.07.2024,Tunis,
Fiat,500,11.2018,70 000km,37 000,Autres,Essence,4cv,Manuelle,Traction,11.07.2024,Tunis,
Mahindra,KUV 100,08.2018,100 000km,27 500,Citadine,Essence,5cv,Manuelle,Traction,11.07.2024,Kairouan,
Porsche,Cayenne,11.2012,130 000km,140 000,SUV/4x4,Essence,21cv,Automatique,Intégrale,11.07.2024,Tunis,
