Brand,Model,Manufacture_year,Mileage,Price,Body_type,Fuel,Horse_Power,Gear_box,Transmission,Announcement_date,Governorate,Address
Mercedes-Benz,ML,2014,83000,185000,SUV/4x4,Diesel,16cv,Automatique,Intégrale,2024-11-07,Nabeul,NaN
Mazda,CX-9,2019,160000,95000,SUV/4x4,Essence,15cv,Automatique,Intégrale,2024-11-07,Tunis,NaN
BMW,Série 1,2016,18000,95000,Citadine,Essence,7cv,Automatique,Propulsion,2024-11-07,Nabeul,NaN
Audi,A4,2018,34000,125000,Berline,Essence,8cv,Automatique,Traction,2024-11-07,Ariana,NaN
Volkswagen,Polo,2018,48000,48300,Citadine,Essence,4cv,Manuelle,Traction,2024-11-07,Sfax,NaN
BMW,Série 4 Gran Coupé,2019,73000,129000,Berline,Essence,7cv,Automatique,Traction,2024-11-07,Ariana,NaN
Alfa Romeo,Giulietta,2019,30000,75000,Compacte,Essence,7cv,Manuelle,Propulsion,2024-11-07,Tunis,NaN
Fiat,500,2018,70000,37000,Autres,Essence,4cv,Manuelle,Traction,2024-11-07,Tunis,NaN
Mahindra,KUV 100,2018,100000,27500,Citadine,Essence,5cv,Manuelle,Traction,2024-11-07,Kairouan,NaN
Porsche,Cayenne,2012,130000,140000,SUV/4x4,Essence,21cv,Automatique,Intégrale,2024-11-07,Tunis,NaN
